Cliente_ID,Fecha_Inicio,Fecha_Fin,Tipo_Contrato,Facturacion_Papel,Metodo_Pago,Cargo_Mensual,Cargo_Total,Antiguedad_Dias,Antiguedad_Meses,Rango_Antiguedad,Genero,Adulto_Mayor,Tiene_Pareja,Tiene_Dependientes,Servicio_Internet,Seguridad_Online,Respaldo_Online,Proteccion_Dispositivo,Soporte_Tecnico,Streaming_TV,Streaming_Peliculas,Multiples_Lineas,Churn
0680-DFNNY,2018-10-01,No,Month-to-month,Yes,Electronic check,101.1,1763.18,488,16,13-24 meses,Male,0,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,0
7560-QRBXH,2016-02-01,No,One year,No,Mailed check,19.95,957.6,1461,48,25-48 meses,Female,0,No,Yes,No service,No service,No service,No service,No service,No service,No service,No,0
7077-XJMET,2019-02-01,No,Month-to-month,Yes,Electronic check,74.15,889.8,365,12,0-12 meses,Male,0,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,No,0
8752-GHJFU,2014-03-01,No,One year,Yes,Electronic check,92.0,6858.6,2163,71,49-72 meses,Male,1,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Yes,0
6896-SRVYQ,2016-06-01,No,Month-to-month,No,Electronic check,73.85,3249.4,1340,44,25-48 meses,Male,1,No,No,Fiber optic,No,No,Yes,No,No,No,No,0
7767-UXAGJ,2019-11-01,No,Month-to-month,Yes,Electronic check,50.45,161.94,92,3,0-12 meses,Male,0,No,No,DSL,No,No,No,No,No,No,Yes,0
4652-ODEVH,2016-05-01,2017-05-01,Two year,No,Mailed check,24.45,311.0,365,12,0-12 meses,Male,0,Yes,Yes,No service,No service,No service,No service,No service,No service,No service,Yes,1
6510-UPNKS,2018-03-01,No,One year,No,Credit card (automatic),24.8,570.4,702,23,13-24 meses,Female,0,No,No,No service,No service,No service,No service,No service,No service,No service,Yes,0
6718-BDGHG,2016-07-01,No,One year,Yes,Bank transfer (automatic),64.85,2788.55,1310,43,25-48 meses,Female,0,Yes,No,DSL,No,No,No,Yes,Yes,No,Yes,0
9046-DQMTP,2017-03-01,No,Month-to-month,No,Bank transfer (automatic),20.75,769.83,1067,35,25-48 meses,Male,0,No,No,No service,No service,No service,No service,No service,No service,No service,No,0
6439-LAJXL,2019-05-01,No,Month-to-month,Yes,Mailed check,68.95,676.4,276,9,0-12 meses,Male,0,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,No,0
1571-SAVHK,2018-10-01,No,Month-to-month,Yes,Mailed check,99.95,1631.18,488,16,13-24 meses,Male,0,No,No,Fiber optic,No,No,No,Yes,Yes,Yes,Yes,0
9052-VKDUW,2014-09-01,No,Month-to-month,Yes,Credit card (automatic),109.4,7111.0,1979,65,49-72 meses,Female,1,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes,0
9546-CQJSU,2019-11-01,No,Month-to-month,Yes,Electronic check,91.4,279.68,92,3,0-12 meses,Female,0,No,No,Fiber optic,No,No,Yes,No,Yes,No,Yes,0
1666-JZPZT,2017-11-01,No,Month-to-month,No,Mailed check,49.0,1442.07,822,27,25-48 meses,Male,0,No,No,DSL,No,No,No,No,No,No,Yes,0
5777-KJIRB,2016-10-01,No,One year,Yes,Mailed check,50.25,2150.7,1218,40,25-48 meses,Female,0,No,No,DSL,No,No,Yes,No,No,No,No,0
0506-LVNGN,2019-06-01,No,Month-to-month,Yes,Credit card (automatic),75.55,652.75,245,8,0-12 meses,Female,1,No,No,Fiber optic,No,No,Yes,No,No,No,No,0
7677-SJJJK,2019-06-01,No,One year,No,Credit card (automatic),19.9,168.75,245,8,0-12 meses,Male,0,Yes,Yes,No service,No service,No service,No service,No service,No service,No service,No,0
2480-EJWYP,2015-04-01,2017-05-01,One year,Yes,Bank transfer (automatic),97.8,2567.25,761,25,25-48 meses,Female,1,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,1
3253-HKOKL,2015-10-01,No,One year,No,Electronic check,100.3,5267.76,1584,52,49-72 meses,Female,0,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,No,0
7055-HNEOJ,2019-11-01,No,Month-to-month,Yes,Mailed check,55.8,167.4,92,3,0-12 meses,Male,0,Yes,No,DSL,No,No,Yes,Yes,No,No,No,0
5514-YQENT,2016-09-01,2019-05-01,Two year,Yes,Electronic check,111.15,3556.8,972,32,25-48 meses,Male,0,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,No,1
3211-AAPKX,2018-06-01,No,Month-to-month,Yes,Mailed check,98.55,1971.0,610,20,13-24 meses,Male,0,No,No,Fiber optic,No,No,No,Yes,Yes,Yes,Yes,0
8445-DNBAE,2020-01-01,No,Month-to-month,Yes,Electronic check,50.05,50.05,31,1,0-12 meses,Male,0,No,Yes,DSL,No,No,No,No,No,No,Yes,0
2951-QOQTK,2019-09-01,No,Month-to-month,No,Credit card (automatic),80.8,404.0,153,5,0-12 meses,Male,0,No,Yes,Fiber optic,No,No,No,Yes,No,No,Yes,0
2958-NHPPS,2018-03-01,No,Month-to-month,No,Electronic check,20.85,479.55,702,23,13-24 meses,Male,0,No,No,No service,No service,No service,No service,No service,No service,No service,No,0
6806-YDEUL,2019-08-01,No,Month-to-month,No,Bank transfer (automatic),19.5,127.53,184,6,0-12 meses,Female,1,No,No,No service,No service,No service,No service,No service,No service,No service,No,0
1735-XMJVH,2019-06-01,No,Month-to-month,Yes,Mailed check,19.35,154.8,245,8,0-12 meses,Male,0,Yes,Yes,No service,No service,No service,No service,No service,No service,No service,No,0
6890-PFRQX,2018-08-01,No,Month-to-month,No,Mailed check,69.5,1363.59,549,18,13-24 meses,Male,0,No,No,DSL,Yes,No,Yes,No,Yes,No,Yes,0
0222-CNVPT,2015-10-01,No,Month-to-month,Yes,Credit card (automatic),48.8,2537.6,1584,52,49-72 meses,Male,1,No,No,DSL,Yes,No,No,No,Yes,Yes,No service,0
5899-OUVKV,2017-07-01,No,Month-to-month,Yes,Electronic check,94.5,3046.68,945,31,25-48 meses,Male,0,No,No,Fiber optic,No,Yes,No,No,Yes,Yes,No,0
8681-ICONS,2017-09-01,No,Month-to-month,Yes,Mailed check,20.65,646.76,883,29,25-48 meses,Male,0,Yes,Yes,No service,No service,No service,No service,No service,No service,No service,No,0
1621-YNCJH,2017-02-01,No,Two year,Yes,Credit card (automatic),106.05,3894.16,1095,36,25-48 meses,Female,0,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Yes,0
3473-XIIIT,2018-08-01,No,Month-to-month,Yes,Electronic check,100.0,1800.0,549,18,13-24 meses,Female,0,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,0
6362-QHAFM,2016-08-01,No,One year,Yes,Electronic check,108.3,4685.06,1279,42,25-48 meses,Male,0,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,0
7893-IXHRQ,2019-11-01,No,Month-to-month,No,Electronic check,20.55,64.73,92,3,0-12 meses,Male,0,No,No,No service,No service,No service,No service,No service,No service,No service,No,0
3070-BDOQC,2015-02-01,2018-03-01,Two year,Yes,Electronic check,99.65,3982.01,1124,37,25-48 meses,Female,0,No,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,No,1
2952-QAYZF,2019-06-01,No,Month-to-month,Yes,Electronic check,85.3,730.17,245,8,0-12 meses,Male,0,No,No,Fiber optic,No,Yes,Yes,No,No,No,Yes,0
6234-PFPXL,2018-04-01,No,Month-to-month,No,Credit card (automatic),95.9,2109.8,671,22,13-24 meses,Male,0,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Yes,0
9824-QCJPK,2017-02-01,No,One year,No,Mailed check,20.0,770.4,1095,36,25-48 meses,Male,0,Yes,No,No service,No service,No service,No service,No service,No service,No service,No,0
4763-PGDPO,2019-08-01,2019-11-01,Month-to-month,No,Electronic check,70.4,211.2,92,3,0-12 meses,Female,0,No,No,Fiber optic,No,No,No,No,No,No,No,1
4283-IVYCI,2019-05-01,No,Month-to-month,No,Mailed check,64.95,619.62,276,9,0-12 meses,Male,0,No,No,DSL,Yes,No,No,Yes,No,Yes,No,0
1866-OBPNR,2020-01-01,No,Month-to-month,No,Credit card (automatic),74.6,74.6,31,1,0-12 meses,Male,0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,No,0
8205-MQUGY,2019-02-01,No,Month-to-month,Yes,Electronic check,49.2,649.44,365,12,0-12 meses,Male,0,Yes,Yes,DSL,Yes,No,No,No,No,No,No,0
8970-ANWXO,2018-03-01,No,One year,Yes,Mailed check,73.75,1696.25,702,23,13-24 meses,Female,0,No,No,DSL,No,No,No,Yes,Yes,Yes,Yes,0
9480-BQJEI,2014-12-01,2017-08-01,One year,Yes,Bank transfer (automatic),92.3,3189.89,974,32,25-48 meses,Male,0,No,No,Fiber optic,Yes,Yes,No,No,No,Yes,Yes,1
5394-SVGJV,2016-10-01,No,Month-to-month,No,Bank transfer (automatic),98.8,3991.52,1218,40,25-48 meses,Male,0,No,No,Fiber optic,No,No,No,Yes,Yes,Yes,Yes,0
6979-TNDEU,2019-06-01,No,Month-to-month,No,Mailed check,19.2,168.96,245,8,0-12 meses,Female,0,No,No,No service,No service,No service,No service,No service,No service,No service,No,0
9777-WJJPR,2017-07-01,2017-12-01,Month-to-month,No,Credit card (automatic),88.65,465.41,153,5,0-12 meses,Male,0,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Yes,1
9283-LZQOH,2018-11-01,No,Month-to-month,Yes,Credit card (automatic),74.4,1116.0,457,15,13-24 meses,Male,0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,0
7079-QRCBC,2017-11-01,No,Month-to-month,Yes,Electronic check,98.75,2906.21,822,27,25-48 meses,Female,0,No,No,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,0
9495-SKLKD,2016-05-01,No,Month-to-month,Yes,Bank transfer (automatic),95.95,4317.75,1371,45,25-48 meses,Male,0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Yes,0
6048-UWKAL,2014-05-01,No,Two year,No,Credit card (automatic),105.4,7272.6,2102,69,49-72 meses,Female,1,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Yes,0
5067-DGXLL,2019-12-01,No,Month-to-month,No,Mailed check,20.25,44.15,62,2,0-12 meses,Male,0,No,No,No service,No service,No service,No service,No service,No service,No service,No,0
5469-CTCWN,2014-12-01,2019-07-01,One year,Yes,Electronic check,106.0,5830.0,1673,55,49-72 meses,Male,0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Yes,1
9851-QXEEQ,2016-06-01,2019-10-01,Month-to-month,Yes,Electronic check,104.7,4188.0,1217,40,25-48 meses,Male,0,No,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,1
6281-FKEWS,2016-06-01,No,One year,Yes,Electronic check,49.05,2158.2,1340,44,25-48 meses,Female,0,No,No,DSL,No,No,Yes,No,Yes,Yes,No service,0
8898-KASCD,2016-11-01,2020-01-01,One year,No,Mailed check,35.55,1418.44,1156,38,25-48 meses,Male,0,No,No,DSL,No,No,Yes,Yes,No,No,No service,1
9242-TKFSV,2014-02-01,No,Two year,Yes,Credit card (automatic),65.1,4687.2,2191,72,49-72 meses,Male,0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No service,0
9290-SHCMB,2019-01-01,No,Month-to-month,Yes,Electronic check,96.85,1259.05,396,13,13-24 meses,Female,1,No,No,Fiber optic,No,No,Yes,No,Yes,Yes,No,0
0743-HNPFG,2015-11-01,No,One year,Yes,Credit card (automatic),69.75,3557.25,1553,51,49-72 meses,Female,0,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,No,0
2277-BKJKN,2014-03-01,No,Two year,Yes,Electronic check,99.2,7184.06,2163,71,49-72 meses,Female,1,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,No,0
9809-IMGCQ,2018-01-01,2018-03-01,Month-to-month,Yes,Electronic check,96.7,193.4,59,2,0-12 meses,Male,1,No,No,Fiber optic,No,No,No,No,Yes,Yes,Yes,1
5208-HFSBT,2019-10-01,No,Month-to-month,Yes,Credit card (automatic),55.05,220.2,123,4,0-12 meses,Female,0,No,No,DSL,No,Yes,No,Yes,No,No,No,0
5035-PGZXH,2015-06-01,No,One year,Yes,Electronic check,106.8,6220.03,1706,56,49-72 meses,Female,0,No,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,0
8695-WDYEA,2020-01-01,No,Month-to-month,No,Mailed check,51.25,53.3,31,1,0-12 meses,Male,0,No,No,DSL,Yes,No,No,No,No,No,No,0
6543-JXSOO,2018-03-01,No,One year,Yes,Mailed check,57.75,1461.08,702,23,13-24 meses,Female,0,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,No,0
8016-ZMGMO,2014-08-01,No,One year,Yes,Bank transfer (automatic),70.85,4769.62,2010,66,49-72 meses,Female,1,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Yes,0
8605-ITULD,2020-01-01,No,Month-to-month,No,Mailed check,19.55,19.55,31,1,0-12 meses,Female,0,No,No,No service,No service,No service,No service,No service,No service,No service,No,0
3254-YRILK,2018-03-01,No,Month-to-month,Yes,Electronic check,88.2,2028.6,702,23,13-24 meses,Male,1,No,No,Fiber optic,No,Yes,No,No,Yes,No,Yes,0
6416-YJTTB,2019-03-01,No,Month-to-month,Yes,Bank transfer (automatic),79.5,900.74,337,11,0-12 meses,Male,0,No,No,Fiber optic,Yes,No,Yes,No,No,No,No,0
2667-WYLWJ,2019-02-01,2019-12-01,One year,Yes,Mailed check,19.75,197.5,303,10,0-12 meses,Female,0,Yes,Yes,No service,No service,No service,No service,No service,No service,No service,No,1
4472-VESGY,2015-10-01,No,Month-to-month,No,Bank transfer (automatic),98.15,5103.8,1584,52,49-72 meses,Female,0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Yes,0
3195-TQDZX,2019-11-01,No,Month-to-month,Yes,Electronic check,20.25,60.75,92,3,0-12 meses,Male,0,No,No,No service,No service,No service,No service,No service,No service,No service,No,0
3128-YOVTD,2015-11-01,No,Month-to-month,Yes,Bank transfer (automatic),79.15,4278.85,1553,51,49-72 meses,Female,0,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,No,0
0529-ONKER,2018-10-01,No,Month-to-month,No,Electronic check,75.65,1295.13,488,16,13-24 meses,Male,1,No,No,Fiber optic,No,No,No,No,No,No,Yes,0
1728-CXQBE,2014-10-01,No,Month-to-month,Yes,Electronic check,94.25,6574.88,1949,64,49-72 meses,Male,1,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Yes,0
7041-TXQJH,2017-01-01,No,Month-to-month,Yes,Credit card (automatic),40.2,1517.15,1126,37,25-48 meses,Female,0,No,No,DSL,No,No,Yes,No,No,Yes,No service,0
5014-GSOUQ,2019-01-01,No,Two year,No,Mailed check,19.95,277.5,396,13,13-24 meses,Male,0,No,No,No service,No service,No service,No service,No service,No service,No service,No,0
5724-BIDBU,2016-01-01,No,One year,Yes,Electronic check,55.35,2820.64,1492,49,49-72 meses,Male,0,Yes,No,DSL,Yes,No,No,No,No,No,Yes,0
0481-SUMCB,2016-05-01,No,One year,Yes,Bank transfer (automatic),102.15,4596.75,1371,45,25-48 meses,Female,1,No,No,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,0
1769-GRUIK,2018-08-01,No,Month-to-month,Yes,Electronic check,71.1,1279.8,549,18,13-24 meses,Female,0,No,No,Fiber optic,No,No,No,No,No,No,No,0
5240-IJOQT,2019-09-01,No,Month-to-month,Yes,Electronic check,74.7,388.44,153,5,0-12 meses,Male,1,No,No,Fiber optic,No,No,No,No,No,No,Yes,0
8819-WFGGJ,2014-06-01,2016-09-01,Two year,Yes,Bank transfer (automatic),54.1,1460.7,823,27,25-48 meses,Male,0,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,No service,1
7427-AUFPY,2015-08-01,No,Two year,No,Credit card (automatic),19.65,1145.99,1645,54,49-72 meses,Male,0,No,No,No service,No service,No service,No service,No service,No service,No service,No,0
2811-POVEX,2018-03-01,No,Month-to-month,Yes,Bank transfer (automatic),88.45,2034.35,702,23,13-24 meses,Female,1,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,No,0
1092-GANHU,2018-05-01,No,Month-to-month,Yes,Electronic check,76.65,1641.84,641,21,13-24 meses,Male,0,No,No,Fiber optic,No,No,Yes,No,No,No,No,0
7898-PDWQE,2014-03-01,No,Two year,No,Credit card (automatic),80.4,5708.4,2163,71,49-72 meses,Male,0,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes,0
9972-EWRJS,2014-07-01,No,Two year,Yes,Bank transfer (automatic),19.25,1289.75,2041,67,49-72 meses,Female,0,Yes,Yes,No service,No service,No service,No service,No service,No service,No service,No,0
9314-IJWSQ,2018-12-01,No,Month-to-month,Yes,Electronic check,84.8,1270.3,427,14,13-24 meses,Female,0,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Yes,0
0661-XEYAN,2019-09-01,No,Month-to-month,Yes,Mailed check,25.8,129.0,153,5,0-12 meses,Female,1,No,No,DSL,No,No,No,No,No,No,No service,0
5799-JRCZO,2014-11-01,No,Two year,No,Credit card (automatic),19.5,1265.36,1918,63,49-72 meses,Female,0,No,Yes,No service,No service,No service,No service,No service,No service,No service,No,0
1921-KYSAY,2016-09-01,No,One year,Yes,Electronic check,68.6,2812.6,1248,41,25-48 meses,Female,0,No,No,DSL,No,No,Yes,Yes,No,Yes,Yes,0
6198-RTPMF,2018-09-01,No,Month-to-month,No,Electronic check,92.6,1684.39,518,17,13-24 meses,Female,0,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Yes,0
2924-KHUVI,2015-06-01,No,One year,Yes,Electronic check,100.55,5743.42,1706,56,49-72 meses,Male,0,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Yes,0
1925-GMVBW,2019-09-01,No,Month-to-month,No,Credit card (automatic),20.55,102.75,153,5,0-12 meses,Female,0,No,No,No service,No service,No service,No service,No service,No service,No service,No,0
7881-EVUAD,2019-10-01,No,Month-to-month,Yes,Electronic check,42.6,170.4,123,4,0-12 meses,Female,0,No,No,DSL,Yes,Yes,No,No,No,Yes,No service,0
6184-DYUOB,2019-11-01,No,Month-to-month,Yes,Mailed check,19.6,58.8,92,3,0-12 meses,Female,0,Yes,No,No service,No service,No service,No service,No service,No service,No service,No,0
9207-ZPANB,2017-01-01,No,One year,No,Electronic check,67.45,2495.65,1126,37,25-48 meses,Male,0,No,No,DSL,Yes,Yes,Yes,Yes,No,No,Yes,0
5766-XQXMQ,2017-06-01,No,Month-to-month,Yes,Bank transfer (automatic),68.85,2203.2,975,32,25-48 meses,Female,0,No,No,DSL,Yes,Yes,Yes,No,No,Yes,No,0
9327-QSDED,2019-06-01,No,Month-to-month,No,Mailed check,43.55,372.79,245,8,0-12 meses,Male,0,No,No,DSL,No,No,No,No,No,No,No,0
1656-DRSMG,2014-11-01,No,Month-to-month,Yes,Credit card (automatic),109.85,7612.6,1918,63,49-72 meses,Female,0,No,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,0
3012-VFFMN,2019-07-01,No,Month-to-month,No,Mailed check,20.65,144.55,215,7,0-12 meses,Female,0,Yes,Yes,No service,No service,No service,No service,No service,No service,No service,No,0
2984-AFWNC,2019-11-01,No,Month-to-month,No,Electronic check,95.4,286.2,92,3,0-12 meses,Female,0,No,No,Fiber optic,No,Yes,No,No,Yes,Yes,No,0
0640-YJTPY,2014-02-01,No,Two year,No,Bank transfer (automatic),21.0,1512.0,2191,72,49-72 meses,Male,0,Yes,Yes,No service,No service,No service,No service,No service,No service,No service,No,0
8096-LOIST,2018-07-01,No,Month-to-month,Yes,Electronic check,56.2,1153.22,580,19,13-24 meses,Female,0,No,No,DSL,No,No,No,No,No,Yes,No,0
9764-REAFF,2015-03-01,2016-07-01,Two year,No,Bank transfer (automatic),18.4,323.84,488,16,13-24 meses,Female,0,Yes,No,No service,No service,No service,No service,No service,No service,No service,No,1
3703-VAVCL,2019-08-01,No,Month-to-month,No,Credit card (automatic),90.0,550.8,184,6,0-12 meses,Male,0,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,No,0
7107-UBYKY,2017-03-01,No,Month-to-month,Yes,Electronic check,25.75,901.25,1067,35,25-48 meses,Female,0,Yes,Yes,No service,No service,No service,No service,No service,No service,No service,Yes,0
4881-GQJTW,2018-12-01,No,Month-to-month,No,Credit card (automatic),19.6,274.4,427,14,13-24 meses,Male,0,No,No,No service,No service,No service,No service,No service,No service,No service,No,0
8519-QJGJD,2018-10-01,No,Month-to-month,No,Electronic check,75.35,1205.6,488,16,13-24 meses,Female,0,No,No,Fiber optic,No,No,Yes,No,No,No,No,0
7876-DNYAP,2014-05-01,2017-11-01,Two year,No,Credit card (automatic),19.8,831.6,1280,42,25-48 meses,Female,0,Yes,Yes,No service,No service,No service,No service,No service,No service,No service,No,1
7905-NJMXS,2019-07-01,No,Month-to-month,No,Electronic check,64.2,449.4,215,7,0-12 meses,Male,1,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Yes,0
2882-WDTBA,2014-05-01,2019-03-01,Two year,Yes,Bank transfer (automatic),75.75,4393.5,1765,58,49-72 meses,Male,0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,No,1
2091-GPPIQ,2014-02-01,No,Two year,Yes,Electronic check,78.95,6082.31,2191,72,49-72 meses,Female,0,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Yes,0
6326-MTTXK,2019-03-01,No,Month-to-month,No,Electronic check,100.85,1209.19,337,11,0-12 meses,Male,0,No,No,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,0
5071-FBJFS,2019-10-01,No,Month-to-month,No,Electronic check,50.3,203.21,123,4,0-12 meses,Female,0,Yes,Yes,DSL,Yes,No,No,No,No,No,No,0
2796-UUZZO,2014-11-01,2015-11-01,Month-to-month,Yes,Credit card (automatic),80.3,1031.05,365,12,0-12 meses,Male,0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,No,1
2429-AYKKO,2014-02-01,No,Two year,No,Bank transfer (automatic),19.85,1529.24,2191,72,49-72 meses,Male,0,No,No,No service,No service,No service,No service,No service,No service,No service,No,0
9798-OPFEM,2016-04-01,No,Two year,Yes,Electronic check,21.1,970.6,1401,46,25-48 meses,Female,0,No,No,No service,No service,No service,No service,No service,No service,No service,No,0
0330-IVZHA,2019-07-01,No,Month-to-month,No,Electronic check,69.95,489.65,215,7,0-12 meses,Female,0,Yes,No,Fiber optic,No,No,No,No,No,No,No,0
3794-NFNCH,2017-08-01,No,Month-to-month,Yes,Mailed check,50.0,1560.0,914,30,25-48 meses,Male,0,Yes,No,DSL,No,No,Yes,No,No,No,No,0
5193-QLVZB,2014-11-01,No,Two year,Yes,Bank transfer (automatic),104.75,6599.25,1918,63,49-72 meses,Male,0,No,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,0
7114-AEOZE,2015-02-01,No,Two year,No,Bank transfer (automatic),19.85,1202.91,1826,60,49-72 meses,Female,0,No,No,No service,No service,No service,No service,No service,No service,No service,No,0
2886-KEFUM,2014-07-01,2019-02-01,One year,Yes,Electronic check,107.5,6444.63,1676,55,49-72 meses,Female,0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,1
5522-NYKPB,2018-01-01,No,Month-to-month,No,Electronic check,85.9,2276.35,761,25,25-48 meses,Male,0,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,No,0
4237-RLAQD,2019-10-01,No,Month-to-month,Yes,Mailed check,45.85,183.4,123,4,0-12 meses,Male,0,No,No,DSL,No,No,No,No,No,No,No,0
9957-YODKZ,2019-08-01,No,Month-to-month,Yes,Electronic check,80.8,484.8,184,6,0-12 meses,Male,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,Yes,0
6518-KZXCB,2018-04-01,No,Two year,No,Mailed check,25.25,611.05,671,22,13-24 meses,Male,0,No,No,No service,No service,No service,No service,No service,No service,No service,Yes,0
2245-ADZFJ,2017-07-01,No,Two year,No,Bank transfer (automatic),80.55,2497.05,945,31,25-48 meses,Female,0,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Yes,0
7776-QGYJC,2016-11-01,No,Month-to-month,Yes,Bank transfer (automatic),81.5,3178.5,1187,39,25-48 meses,Female,0,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,No,0
9313-QOLTZ,2017-12-01,No,Month-to-month,No,Mailed check,20.9,543.4,792,26,25-48 meses,Male,0,No,No,No service,No service,No service,No service,No service,No service,No service,No,0
9651-GTSAQ,2015-08-01,No,One year,Yes,Bank transfer (automatic),106.1,5729.4,1645,54,49-72 meses,Female,0,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,No,0
3186-BAXNB,2019-10-01,No,Month-to-month,No,Electronic check,91.7,366.8,123,4,0-12 meses,Female,0,No,No,Fiber optic,No,Yes,No,Yes,Yes,No,No,0
4672-FOTSD,2019-02-01,No,Month-to-month,Yes,Electronic check,67.25,887.7,365,12,0-12 meses,Male,0,No,No,DSL,Yes,Yes,No,Yes,No,No,Yes,0
0637-YLETY,2018-08-01,No,Month-to-month,Yes,Credit card (automatic),95.6,1772.42,549,18,13-24 meses,Female,0,No,No,Fiber optic,No,Yes,Yes,No,No,Yes,Yes,0
9818-XQCUV,2019-12-01,No,Month-to-month,No,Mailed check,20.35,40.7,62,2,0-12 meses,Female,0,No,No,No service,No service,No service,No service,No service,No service,No service,No,0
7338-ERIVA,2016-11-01,No,One year,No,Bank transfer (automatic),45.05,1827.23,1187,39,25-48 meses,Male,0,No,Yes,DSL,Yes,No,No,Yes,Yes,No,No service,0
1157-BQCUW,2019-10-01,No,Month-to-month,Yes,Electronic check,74.95,299.8,123,4,0-12 meses,Male,0,No,No,Fiber optic,No,No,No,No,No,No,Yes,0
8259-NFJTV,2019-07-01,No,Month-to-month,No,Mailed check,34.65,242.55,215,7,0-12 meses,Female,0,Yes,Yes,DSL,Yes,No,No,Yes,No,No,No service,0
3223-DWFIO,2019-10-01,No,Month-to-month,No,Electronic check,69.35,280.17,123,4,0-12 meses,Male,1,No,No,Fiber optic,No,No,No,No,No,No,No,0
2660-EMUBI,2018-12-01,No,Month-to-month,Yes,Electronic check,95.35,1388.3,427,14,13-24 meses,Male,1,No,No,Fiber optic,No,No,No,No,Yes,Yes,Yes,0
6968-GMKPR,2015-07-01,No,Month-to-month,Yes,Electronic check,81.55,4709.51,1676,55,49-72 meses,Female,0,No,No,Fiber optic,No,Yes,Yes,No,No,No,No,0
4751-ERMAN,2014-02-01,No,Two year,Yes,Bank transfer (automatic),75.4,5700.24,2191,72,49-72 meses,Male,0,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,No,0
1436-ZMJAN,2019-04-01,No,Month-to-month,Yes,Credit card (automatic),67.8,718.68,306,10,0-12 meses,Female,0,Yes,No,DSL,No,No,Yes,No,Yes,Yes,No,0
3292-PBZEJ,2019-03-01,No,Month-to-month,Yes,Electronic check,111.4,1225.4,337,11,0-12 meses,Male,1,No,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,0
0799-DDIHE,2018-11-01,No,Month-to-month,No,Electronic check,46.3,694.5,457,15,13-24 meses,Female,0,Yes,Yes,DSL,No,No,No,No,No,No,No,0
3070-FNFZQ,2018-03-01,No,Two year,No,Bank transfer (automatic),20.4,516.12,702,23,13-24 meses,Female,0,Yes,Yes,No service,No service,No service,No service,No service,No service,No service,No,0
